Restaurant Name,Address,Average Yelp Review,#Pass Inspection,#Conditional Inspection,#Failed Inspection
Harry's Hot Dogs,"Harry's Hot Dogs - CLOSED - The Loop - Chicago, IL",4,0,0,0
Terzo Piano,"Terzo Piano - The Loop - Chicago, IL",3,0,0,0
Delmonico,"Delmonico - The Loop - Chicago, IL",4,11,4,4
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",4,73,20,12
Mei's Kitchen,"Mei's Kitchen - South Loop - Chicago, IL",3,0,0,0
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",3,80,14,12
Corner Bakery Cafe,"Corner Bakery Cafe - Near Southside - Chicago, IL",3,118,23,19
Cajun Grill At Union Station,"Cajun Grill At Union Station - Near West Side - Chicago, IL",2,0,0,0
IPO,"IPO - The Loop - Chicago, IL",4,0,0,0
A' Cappella Bistro,"A' Cappella Bistro - Near Southside - Chicago, IL",2,0,0,0
Tesori,"Tesori - The Loop - Chicago, IL",4,16,3,4
Sopraffina,"Sopraffina - The Loop - Chicago, IL",4,14,0,1
Hackney's Printers' Row,"Hackney's Printers' Row - Printer's Row - Chicago, IL",4,10,1,1
Off-Track Betting-Otb,"Off-Track Betting-Otb - The Loop - Chicago, IL",5,0,0,0
Patty Burger,"Patty Burger - CLOSED - The Loop - Chicago, IL",3,1,1,0
Custom House Tavern,"Custom House Tavern - Printer's Row - Chicago, IL",4,3,0,3
Au Bon Pain,"Au Bon Pain - Chicago, IL",3,80,14,12
Spa Cafe,"Spa Cafe - CLOSED - The Loop - Chicago, IL",4,0,0,0
The Grille on State,"The Grille on State - CLOSED - South Loop - Chicago, IL",2,0,0,0
BomBon 4,"BomBon 4 - CLOSED - The Loop - Chicago, IL",5,0,0,0
Au Bon Pain,"Au Bon Pain - Near West Side - Chicago, IL",3,80,14,12
Encore Liquid Lounge,"Encore Liquid Lounge - The Loop - Chicago, IL",4,0,0,0
Harold's Chicken Shack No 77,"Harold's Chicken Shack No 77 - CLOSED - The Loop - Chicago, IL",3,5,1,2
Cafecito,"Cafecito - South Loop - Chicago, IL",5,18,2,3
Chicago Windy House,"Chicago Windy House - Near West Side - Chicago, IL",4,0,0,0
Giordano's Pizzeria,"Giordano's Pizzeria - The Loop - Chicago, IL",3,0,0,0
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Around the Corner,"Around the Corner - CLOSED - The Loop - Chicago, IL",5,0,0,0
Protein Bar,"Protein Bar - The Loop - Chicago, IL",4,46,8,6
Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",4,31,4,4
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
Lockwood,"Lockwood - The Loop - Chicago, IL",4,8,2,2
10 & 30 Sundry,"10 & 30 Sundry - The Loop - Chicago, IL",3,0,0,0
M Burger,"M Burger - The Loop - Chicago, IL",3,10,0,1
Au Bon Pain Company,"Au Bon Pain Company - Chicago, IL",3,80,14,12
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",4,118,23,19
Falafill,"Falafill - The Loop - Chicago, IL",5,4,2,1
Protein Bar,"Protein Bar - The Loop - Chicago, IL",4,46,8,6
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Mezza Grilled Wraps and Pitas,"Mezza Grilled Wraps and Pitas - The Loop - Chicago, IL",4,19,6,5
MySpa Chicago,"MySpa Chicago - The Loop - Chicago, IL",4,0,0,0
Potbelly's,"Potbelly's - The Loop - Chicago, IL",4,0,0,0
Nicola's Pizzeria,"Nicola's Pizzeria - CLOSED - The Loop - Chicago, IL",4,1,0,0
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",3,44,11,6
Jimmy John's,"Jimmy John's - Near West Side - Chicago, IL",4,33,13,8
Cellars Market,"Cellars Market - Chicago, IL",4,11,2,2
Flo & Santos,"Flo & Santos - Near Southside - Chicago, IL",4,13,2,8
Caffecafe,"Caffecafe - The Loop - Chicago, IL",3,8,1,0
U Food Grill,"U Food Grill - CLOSED - South Loop - Chicago, IL",3,1,0,0
Max's Take Out,"Max's Take Out - The Loop - Chicago, IL",4,10,1,4
Arby's,"Arby's - CLOSED - The Loop - Chicago, IL",3,0,0,0
Chen's Chinese Express,"Chen's Chinese Express - The Loop - Chicago, IL",3,2,0,0
Hannah's Bretzel,"Hannah's Bretzel - The Loop - Chicago, IL",4,10,2,0
Ronny's Original Chicago Steak House,"Ronny's Original Chicago Steak House - The Loop - Chicago, IL",4,0,0,0
The Big Downtown,"The Big Downtown - CLOSED - The Loop - Chicago, IL",4,10,1,0
Subway,"Subway - The Loop - Chicago, IL",2,187,21,29
Haifa Cafe,"Haifa Cafe - The Loop - Chicago, IL",3,8,2,5
The Italian Village Restaurants,"The Italian Village Restaurants - The Loop - Chicago, IL",3,0,0,0
Pockets,"Pockets - CLOSED - The Loop - Chicago, IL",4,16,3,2
McDonald's,"McDonald's - The Loop - Chicago, IL",2,42,1,13
Wow Bao,"Wow Bao - The Loop - Chicago, IL",4,37,4,3
Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",2,31,2,5
KFC Express,"KFC Express - The Loop - Chicago, IL",3,0,0,0
Jimmy John's,"Jimmy John's - Near Southside - Chicago, IL",4,33,13,8
Kamehachi,"Kamehachi - The Loop - Chicago, IL",3,0,0,0
Which Wich Superior Sandwiches,"Which Wich Superior Sandwiches - The Loop - Chicago, IL",4,10,4,2
Pret A Manger,"Pret A Manger - The Loop - Chicago, IL",4,68,5,9
Opart Thai House,"Opart Thai House - Near Southside - Chicago, IL",4,0,0,0
Pizza-Ria,"Pizza-Ria - South Loop - Chicago, IL",4,0,0,0
West Egg Cafe,"West Egg Cafe - CLOSED - The Loop - Chicago, IL",3,0,0,0
Exposure Restaurant & Lounge,"Exposure Restaurant & Lounge - CLOSED - Near Southside - Chicago, IL",3,0,0,0
The Garden Restaurant,"The Garden Restaurant - The Loop - Chicago, IL",4,0,0,0
French Quarter Restaurant,"French Quarter Restaurant - Chicago, IL",4,0,0,0
Bennigan's,"Bennigan's - CLOSED - The Loop - Chicago, IL",3,0,0,0
Pizzahut Express,"Pizzahut Express - Near West Side - Chicago, IL",3,0,0,0
Oysy Japanese Sushi Restaurant,"Oysy Japanese Sushi Restaurant - South Loop - Chicago, IL",4,6,2,4
Popeye's Famous Fried Chicken,"Popeye's Famous Fried Chicken - The Loop - Chicago, IL",4,0,0,0
Vivere,"Vivere - The Loop - Chicago, IL",4,0,0,0
Gino's East Sports Bar,"Gino's East Sports Bar - Printer's Row - Chicago, IL",4,0,0,0
Simply Greens,"Simply Greens - Near West Side - Chicago, IL",2,0,0,0
Wow Bao,"Wow Bao - The Loop - Chicago, IL",4,37,4,3
Indian Express,"Indian Express - The Loop - Chicago, IL",2,0,0,0
Bionda To Go,"Bionda To Go - CLOSED - The Loop - Chicago, IL",4,1,0,0
Ruby of Siam,"Ruby of Siam - The Loop - Chicago, IL",4,5,0,2
Chicago Kernel Gourmet Popcorn,"Chicago Kernel Gourmet Popcorn - The Loop - Chicago, IL",5,6,0,0
The Vault,"The Vault - The Loop - Chicago, IL",4,0,0,0
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
Courtway Restaurant,"Courtway Restaurant - The Loop - Chicago, IL",4,0,0,0
Qdoba Mexican Grill,"Qdoba Mexican Grill - The Loop - Chicago, IL",3,9,1,3
Thai Spoon,"Thai Spoon - South Loop - Chicago, IL",3,6,1,1
Market Creations,"Market Creations - The Loop - Chicago, IL",3,33,12,7
Mac Kelly's Greens & Things,"Mac Kelly's Greens & Things - The Loop - Chicago, IL",4,4,1,1
Epic Burger,"Epic Burger - South Loop - Chicago, IL",4,6,2,5
Ara On,"Ara On - The Loop - Chicago, IL",4,11,2,1
Naf Naf Grill,"Naf Naf Grill - The Loop - Chicago, IL",4,17,5,3
Ricobene's,"Ricobene's - CLOSED - The Loop - Chicago, IL",3,0,0,0
La Rosetta,"La Rosetta - The Loop - Chicago, IL",4,0,0,0
Fish Port,"Fish Port - CLOSED - The Loop - Chicago, IL",4,0,0,0
Mama Falco Pizza,"Mama Falco Pizza - CLOSED - The Loop - Chicago, IL",4,0,0,0
Rudy's Bar & Grille,"Rudy's Bar & Grille - The Loop - Chicago, IL",4,9,3,1
Freshii,"Freshii - The Loop - Chicago, IL",3,63,21,14
Caffe Baci,"Caffe Baci - The Loop - Chicago, IL",3,33,5,5
Howie's,"Howie's - CLOSED - Near Southside - Chicago, IL",3,0,0,0
CrÃªpe Bistro,"CrÃªpe Bistro - The Loop - Chicago, IL",4,0,0,0
Hannah's Bretzel,"Hannah's Bretzel - The Loop - Chicago, IL",4,10,2,0
Cibo Matto,"Cibo Matto - CLOSED - The Loop - Chicago, IL",4,0,0,0
Sbarro,"Sbarro - The Loop - Chicago, IL",3,36,5,6
Pizano's Pizza,"Pizano's Pizza - The Loop - Chicago, IL",4,12,4,4
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Roly Poly Sandwiches,"Roly Poly Sandwiches - The Loop - Chicago, IL",4,5,1,2
Park Grill,"Park Grill - The Loop - Chicago, IL",4,0,0,0
Maxim's Restaurant,"Maxim's Restaurant - The Loop - Chicago, IL",3,0,0,0
Johnny Rockets,"Johnny Rockets - The Loop - Chicago, IL",2,9,0,4
Pedersen Room,"Pedersen Room - Near West Side - Chicago, IL",4,0,0,0
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",4,44,11,6
Pret A Manger,"Pret A Manger - The Loop - Chicago, IL",5,68,5,9
Weather Mark Tavern,"Weather Mark Tavern - Near Southside - Chicago, IL",4,10,0,0
Wall Street Deli,"Wall Street Deli - The Loop - Chicago, IL",5,0,0,0
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",3,48,11,8
Pittsfield Cafe,"Pittsfield Cafe - The Loop - Chicago, IL",4,9,1,1
Osaka Express,"Osaka Express - The Loop - Chicago, IL",4,9,0,0
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",2,80,14,12
Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",3,31,2,5
Oodles Of Noodles,"Oodles Of Noodles - CLOSED - The Loop - Chicago, IL",3,2,0,0
The Berghoff Restaurant,"The Berghoff Restaurant - The Loop - Chicago, IL",4,0,0,0
Cosi,"Cosi - The Loop - Chicago, IL",4,31,7,8
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
The Green at Grant Park,"The Green at Grant Park - CLOSED - The Loop - Chicago, IL",4,1,0,1
Ronny's Original Steakhouse,"Ronny's Original Steakhouse - CLOSED - The Loop - Chicago, IL",4,0,0,0
Burrito Beach,"Burrito Beach - Near West Side - Chicago, IL",3,28,3,3
Bella Bacino's,"Bella Bacino's - The Loop - Chicago, IL",4,0,0,0
BB's,"BB's - CLOSED - Near North Side - Chicago, IL",4,0,0,0
Buen Apetito,"Buen Apetito - Near West Side - Chicago, IL",4,0,0,0
Trattoria Caterina,"Trattoria Caterina - Printer's Row - Chicago, IL",3,5,1,1
Beef and Brandy,"Beef and Brandy - The Loop - Chicago, IL",3,0,0,0
Uncle Abe's Deli,"Uncle Abe's Deli - CLOSED - The Loop - Chicago, IL",4,0,0,0
Blackbird,"Blackbird - Near West Side - Chicago, IL",4,0,0,0
Sopraffina Marketcaffe,"Sopraffina Marketcaffe - The Loop - Chicago, IL",4,33,5,4
Mezcalina,"Mezcalina - The Loop - Chicago, IL",3,6,2,1
Flaco's Tacos,"Flaco's Tacos - Printer's Row - Chicago, IL",4,0,0,0
U.B. Dogs,"U.B. Dogs - The Loop - Chicago, IL",5,8,0,1
Hot Woks Cool Sushi,"Hot Woks Cool Sushi - The Loop - Chicago, IL",4,18,5,2
Giordano's Pizzeria,"Giordano's Pizzeria - CLOSED - The Loop - Chicago, IL",4,0,0,0
Bodega N.5,"Bodega N.5 - South Loop - Chicago, IL",4,0,0,0
Eleven City Diner,"Eleven City Diner - South Loop - Chicago, IL",4,13,2,0
Brasserie By LM,"Brasserie By LM - South Loop - Chicago, IL",3,6,1,5
231 Cafe,"231 Cafe - The Loop - Chicago, IL",4,0,0,0
Mr Submarine,"Mr Submarine - The Loop - Chicago, IL",4,0,0,0
Palmer House Conference Center 7,"Palmer House Conference Center 7 - The Loop - Chicago, IL",5,0,0,0
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",3,33,13,8
Pavilion Restaurant,"Pavilion Restaurant - South Loop - Chicago, IL",2,0,0,0
Palm Restaurant,"Palm Restaurant - The Loop - Chicago, IL",4,8,0,3
Faycurr's Urban Kitchen & Cafe,"Faycurr's Urban Kitchen & Cafe - The Loop - Chicago, IL",3,4,0,4
Cosi,"Cosi - The Loop - Chicago, IL",3,31,7,8
Jason's Deli,"Jason's Deli - The Loop - Chicago, IL",4,10,1,2
Overflow Coffee Bar,"Overflow Coffee Bar - Near Southside - Chicago, IL",5,0,0,0
Grillers,"Grillers - The Loop - Chicago, IL",4,0,0,0
Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",3,10,6,1
Finkls Deli,"Finkls Deli - CLOSED - The Loop - Chicago, IL",3,0,0,0
Arby's,"Arby's - The Loop - Chicago, IL",3,0,0,0
Simply Thalia,"Simply Thalia - The Loop - Chicago, IL",2,8,4,3
Potter's Lounge,"Potter's Lounge - The Loop - Chicago, IL",4,10,0,1
Dunkin' Donuts,"Dunkin' Donuts - The Loop - Chicago, IL",4,4,1,1
Wisma,"Wisma - The Loop - Chicago, IL",4,0,0,0
BackStage Bistro,"BackStage Bistro - The Loop - Chicago, IL",4,0,0,0
Alain's,"Alain's - Near Southside - Chicago, IL",4,0,0,0
Wildberry Cafe,"Wildberry Cafe - The Loop - Chicago, IL",4,0,0,0
Americana Submarine,"Americana Submarine - The Loop - Chicago, IL",2,6,7,1
Silk Road Jackson,"Silk Road Jackson - CLOSED - The Loop - Chicago, IL",4,0,0,0
Avanti CaffÃ©,"Avanti CaffÃ© - The Loop - Chicago, IL",4,0,0,0
Pita Belly,"Pita Belly - South Loop - Chicago, IL",3,0,0,0
Toro Sushi Express,"Toro Sushi Express - The Loop - Chicago, IL",4,0,0,0
Lloyd's Chicago,"Lloyd's Chicago - The Loop - Chicago, IL",3,0,0,0
Berghoff CafÃ©,"Berghoff CafÃ© - The Loop - Chicago, IL",4,0,0,0
Yolk,"Yolk - South Loop - Chicago, IL",4,10,2,2
Lou Malnati's Pizzeria,"Lou Malnati's Pizzeria - South Loop - Chicago, IL",4,15,4,1
Pazzo's @ 311,"Pazzo's @ 311 - The Loop - Chicago, IL",4,10,2,2
Haute Sausage,"Haute Sausage - The Loop - Chicago, IL",4,4,0,2
Potbelly Sandwich Shop,"Potbelly Sandwich Shop - The Loop - Chicago, IL",4,0,0,0
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",4,44,11,6
Coco's Famous Deep Fried Lobster,"Coco's Famous Deep Fried Lobster - The Loop - Chicago, IL",4,0,0,0
California Pizza Kitchen,"California Pizza Kitchen - CLOSED - The Loop - Chicago, IL",4,0,0,0
Hong Kong Cafe,"Hong Kong Cafe - CLOSED - The Loop - Chicago, IL",4,0,0,0
The Zodiac Room,"The Zodiac Room - Near North Side - Chicago, IL",4,0,0,0
Pockets,"Pockets - The Loop - Chicago, IL",3,16,3,2
Morton's The Steakhouse,"Morton's The Steakhouse - The Loop - Chicago, IL",4,0,0,0
Baja Fresh,"Baja Fresh - CLOSED - The Loop - Chicago, IL",4,0,0,0
Townhouse Restaurant & Wine Bar,"Townhouse Restaurant & Wine Bar - The Loop - Chicago, IL",3,0,0,0
III Forks Prime Steakhouse,"III Forks Prime Steakhouse - The Loop - Chicago, IL",4,2,0,0
Zapatista,"Zapatista - Near Southside - Chicago, IL",4,12,1,5
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",3,80,14,12
Arby's,"Arby's - The Loop - Chicago, IL",3,0,0,0
Tamalefoodie,"Tamalefoodie - Near West Side - Chicago, IL",4,0,0,0
The Florentine,"The Florentine - The Loop - Chicago, IL",4,9,2,5
KFC,"KFC - CLOSED - South Loop - Chicago, IL",3,0,0,0
Petterino's,"Petterino's - The Loop - Chicago, IL",4,20,1,2
City Tavern,"City Tavern - Near Southside - Chicago, IL",4,0,0,0
Panera Bread,"Panera Bread - The Loop - Chicago, IL",3,15,1,7
McDonald's,"McDonald's - The Loop - Chicago, IL",1,42,1,13
Jazzman's Cafe & Bakery,"Jazzman's Cafe & Bakery - The Loop - Chicago, IL",2,0,0,0
Wow Bao Restaurant,"Wow Bao Restaurant - The Loop - Chicago, IL",4,37,4,3
The L Cafe,"The L Cafe - The Loop - Chicago, IL",3,0,0,0
Panozzo's Italian Market,"Panozzo's Italian Market - Near Southside - Chicago, IL",5,0,0,0
Subway Sandwiches,"Subway Sandwiches - The Loop - Chicago, IL",5,196,25,31
Shark's Fish & Chicken,"Shark's Fish & Chicken - The Loop - Chicago, IL",3,0,0,0
Gioco,"Gioco - Near Southside - Chicago, IL",4,8,2,4
Korean Express,"Korean Express - CLOSED - The Loop - Chicago, IL",4,0,0,0
Wow Bow,"Wow Bow - The Loop - Chicago, IL",4,0,0,0
Bacci Pizzeria,"Bacci Pizzeria - Chicago, IL",4,1,0,0
Micky's Chicken & Fish,"Micky's Chicken & Fish - The Loop - Chicago, IL",4,0,0,0
Pastoral,"Pastoral - The Loop - Chicago, IL",5,7,1,2
Connie's Pizza,"Connie's Pizza - The Loop - Chicago, IL",4,0,0,0
Taza,"Taza - The Loop - Chicago, IL",5,6,0,0
McDonald's,"McDonald's - Near West Side - Chicago, IL",3,42,1,13
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
I Dream Of Falafel,"I Dream Of Falafel - The Loop - Chicago, IL",4,16,6,5
Cardozo's Pub,"Cardozo's Pub - The Loop - Chicago, IL",3,10,1,1
Robinson's No 1 Ribs,"Robinson's No 1 Ribs - Near West Side - Chicago, IL",4,0,0,0
Trattoria No. 10,"Trattoria No. 10 - The Loop - Chicago, IL",4,0,0,0
Five Guys Burgers & Fries,"Five Guys Burgers & Fries - South Loop - Chicago, IL",4,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Augustino's Rock & Roll Deli,"Augustino's Rock & Roll Deli - CLOSED - The Loop - Chicago, IL",4,0,0,0
Chicago Curry House,"Chicago Curry House - South Loop - Chicago, IL",4,6,3,3
The Walnut Room,"The Walnut Room - The Loop - Chicago, IL",3,0,0,0
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Emil's Bar & Grill,"Emil's Bar & Grill - CLOSED - Chicago, IL",3,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
DOS Hermanos Mexican Restaurante,"DOS Hermanos Mexican Restaurante - CLOSED - The Loop - Chicago, IL",4,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
au bon pain,"au bon pain - The Loop - Chicago, IL",1,80,14,12
