Restaurant Name,Address,Average Yelp Review,#Pass Inspection,#Conditional Inspection,#Failed Inspection
Raw,"Raw - Near West Side - Chicago, IL",5,0,0,0
Sopraffina Marketcaffe,"Sopraffina Marketcaffe - The Loop - Chicago, IL",4,33,5,4
Artist's Cafe,"Artist's Cafe - The Loop - Chicago, IL",2,2,0,2
Delmonico Illinois Center,"Delmonico Illinois Center - The Loop - Chicago, IL",4,11,4,4
Taco Fresco,"Taco Fresco - CLOSED - The Loop - Chicago, IL",3,31,2,5
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
I Dream of Falafel,"I Dream of Falafel - The Loop - Chicago, IL",4,16,6,5
Mangino's,"Mangino's - CLOSED - The Loop - Chicago, IL",4,0,0,0
ROOF,"ROOF - The Loop - Chicago, IL",3,0,0,0
Billy Goat Tavern & Grill,"Billy Goat Tavern & Grill - The Loop - Chicago, IL",3,18,1,1
One North Kitchen & Bar,"One North Kitchen & Bar - The Loop - Chicago, IL",3,9,2,3
Midtown Kitchen + Bar,"Midtown Kitchen + Bar - The Loop - Chicago, IL",3,1,1,0
Tamarind,"Tamarind - South Loop - Chicago, IL",4,10,0,3
Sushi Sai,"Sushi Sai - The Loop - Chicago, IL",4,9,2,6
Under 55 Cafe,"Under 55 Cafe - The Loop - Chicago, IL",4,9,2,3
Pizza Hut Express and KFC,"Pizza Hut Express and KFC - CLOSED - The Loop - Chicago, IL",3,3,2,1
Pollitos Grill & Rotisserie,"Pollitos Grill & Rotisserie - The Loop - Chicago, IL",4,14,1,2
Donna's Cafe,"Donna's Cafe - Near Southside - Chicago, IL",4,2,0,0
Exchequer Restaurant & Pub,"Exchequer Restaurant & Pub - The Loop - Chicago, IL",4,10,3,2
Jersey Mike's Subs,"Jersey Mike's Subs - The Loop - Chicago, IL",4,23,4,5
Old Timers Restaurant & Lounge,"Old Timers Restaurant & Lounge - CLOSED - The Loop - Chicago, IL",3,0,0,0
Alonti Deli,"Alonti Deli - Near West Side - Chicago, IL",3,17,7,9
Salad Creations,"Salad Creations - CLOSED - The Loop - Chicago, IL",4,0,0,0
Boston Blackies,"Boston Blackies - Near West Side - Chicago, IL",3,0,0,0
Westminster Hot Dog,"Westminster Hot Dog - The Loop - Chicago, IL",4,0,0,0
Siam Rice,"Siam Rice - The Loop - Chicago, IL",4,0,0,0
Quiznos,"Quiznos - CLOSED - The Loop - Chicago, IL",3,0,0,0
Quizno's Subs,"Quizno's Subs - The Loop - Chicago, IL",3,0,0,1
I Love Sushi,"I Love Sushi - The Loop - Chicago, IL",4,8,3,0
Freshii,"Freshii - The Loop - Chicago, IL",4,63,21,14
Jersey Mike's Subs,"Jersey Mike's Subs - The Loop - Chicago, IL",4,23,4,5
Ronny's III,"Ronny's III - The Loop - Chicago, IL",3,0,0,0
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",4,48,11,8
Bowl Square,"Bowl Square - Near West Side - Chicago, IL",4,0,0,0
Fresh Choice,"Fresh Choice - The Loop - Chicago, IL",4,0,0,0
Chicago Sports Bar & Grill,"Chicago Sports Bar & Grill - CLOSED - The Loop - Chicago, IL",3,0,0,0
Cyrano's Cafe On The River,"Cyrano's Cafe On The River - The Loop - Chicago, IL",3,0,0,0
Monday's Restaurant,"Monday's Restaurant - CLOSED - The Loop - Chicago, IL",3,0,0,0
Orange on Harrison,"Orange on Harrison - CLOSED - Printer's Row - Chicago, IL",4,0,0,0
Panera Bread,"Panera Bread - South Loop - Chicago, IL",4,15,1,7
Ma & I,"Ma & I - Near Southside - Chicago, IL",4,0,0,0
Nick & Tony's Italian Chop House,"Nick & Tony's Italian Chop House - CLOSED - The Loop - Chicago, IL",3,5,1,1
Jaffa Bakery,"Jaffa Bakery - The Loop - Chicago, IL",4,10,0,7
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Cosi,"Cosi - The Loop - Chicago, IL",4,31,7,8
La Strada Ristorante,"La Strada Ristorante - CLOSED - The Loop - Chicago, IL",4,0,0,0
Alonti Deli,"Alonti Deli - Near West Side - Chicago, IL",3,17,7,9
Pompei Bakery,"Pompei Bakery - CLOSED - The Loop - Chicago, IL",3,0,0,0
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
Cosi Sandwich Bar,"Cosi Sandwich Bar - The Loop - Chicago, IL",2,31,7,8
Plaza Market Bistro,"Plaza Market Bistro - CLOSED - The Loop - Chicago, IL",4,0,0,0
Sbarro,"Sbarro - The Loop - Chicago, IL",3,36,5,6
Wok Out,"Wok Out - CLOSED - South Loop - Chicago, IL",3,0,0,0
Pita Heaven,"Pita Heaven - Near Southside - Chicago, IL",4,8,2,2
Salad Spinners,"Salad Spinners - CLOSED - The Loop - Chicago, IL",3,1,0,0
Subway,"Subway - South Loop - Chicago, IL",2,187,21,29
Perry's,"Perry's - The Loop - Chicago, IL",4,0,0,0
Utopia International Caribbean Cuisine,"Utopia International Caribbean Cuisine - CLOSED - Near Southside - Chicago, IL",3,0,0,0
Oriental Express,"Oriental Express - The Loop - Chicago, IL",3,4,0,0
Mallers Deli,"Mallers Deli - The Loop - Chicago, IL",4,0,0,0
Maison Brasserie,"Maison Brasserie - The Loop - Chicago, IL",4,3,0,0
The Grill Room Chophouse & Winebar,"The Grill Room Chophouse & Winebar - The Loop - Chicago, IL",3,5,1,1
South Branch,"South Branch - The Loop - Chicago, IL",4,8,6,1
Green Apple,"Green Apple - The Loop - Chicago, IL",4,0,0,0
Jimmy John's,"Jimmy John's - South Loop - Chicago, IL",4,33,13,8
Haifa Cafe,"Haifa Cafe - CLOSED - The Loop - Chicago, IL",3,8,2,5
Gold Coast Dogs,"Gold Coast Dogs - Chicago, IL",4,9,5,0
Miller's Pub,"Miller's Pub - The Loop - Chicago, IL",4,0,0,0
Subway Sandwiches,"Subway Sandwiches - The Loop - Chicago, IL",2,196,25,31
Al's Beef,"Al's Beef - The Loop - Chicago, IL",3,11,1,6
Protein Bar,"Protein Bar - The Loop - Chicago, IL",4,46,8,6
Taste of Siam Inc,"Taste of Siam Inc - CLOSED - Printer's Row - Chicago, IL",3,0,0,0
Gold Coast Dogs,"Gold Coast Dogs - Near West Side - Chicago, IL",3,9,5,0
Pierogi Heaven,"Pierogi Heaven - The Loop - Chicago, IL",5,0,0,0
Catch 35,"Catch 35 - The Loop - Chicago, IL",4,0,0,0
Works-North Loop the,"Works-North Loop the - The Loop - Chicago, IL",4,0,0,0
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",3,80,14,12
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",4,118,23,19
Rosie's Cafe & Catering,"Rosie's Cafe & Catering - Near West Side - Chicago, IL",4,5,0,0
Ceres Cafe,"Ceres Cafe - The Loop - Chicago, IL",4,11,1,0
Einstein Bros. Bagels,"Einstein Bros. Bagels - The Loop - Chicago, IL",4,4,1,1
Chicago River Cafe,"Chicago River Cafe - The Loop - Chicago, IL",4,0,0,0
Halo Asian Mix,"Halo Asian Mix - The Loop - Chicago, IL",4,2,1,4
Ufood Grill,"Ufood Grill - CLOSED - The Loop - Chicago, IL",3,0,0,0
McDonald's,"McDonald's - The Loop - Chicago, IL",3,42,1,13
To Pho Cafe,"To Pho Cafe - CLOSED - The Loop - Chicago, IL",4,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Taco Bell,"Taco Bell - CLOSED - Printer's Row - Chicago, IL",2,9,0,4
University Club of Chicago,"University Club of Chicago - The Loop - Chicago, IL",4,10,2,2
Tapas Valencia,"Tapas Valencia - Near Southside - Chicago, IL",4,0,0,0
Specialty's Cafe & Bakery,"Specialty's Cafe & Bakery - The Loop - Chicago, IL",4,7,0,1
Rivers To Go,"Rivers To Go - The Loop - Chicago, IL",4,7,8,2
Fast Foo's,"Fast Foo's - The Loop - Chicago, IL",3,3,1,2
Wendy's,"Wendy's - The Loop - Chicago, IL",3,0,0,0
Diosa on the River,"Diosa on the River - The Loop - Chicago, IL",4,0,0,0
Chutney Joe's,"Chutney Joe's - CLOSED - South Loop - Chicago, IL",3,0,0,0
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",3,73,20,12
Lavazza Espression,"Lavazza Espression - The Loop - Chicago, IL",4,9,0,1
Sweetwater Tavern & Grille,"Sweetwater Tavern & Grille - The Loop - Chicago, IL",4,9,2,4
Market Creations,"Market Creations - The Loop - Chicago, IL",4,33,12,7
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",3,44,11,6
Mac Kelly's Greens & Things,"Mac Kelly's Greens & Things - CLOSED - The Loop - Chicago, IL",4,4,1,1
Arturo Express,"Arturo Express - Near West Side - Chicago, IL",4,9,0,0
Govnor's Pub,"Govnor's Pub - CLOSED - The Loop - Chicago, IL",5,0,0,0
Soundings Restaurant,"Soundings Restaurant - Near Southside - Chicago, IL",3,9,0,2
Marc Burger,"Marc Burger - The Loop - Chicago, IL",3,0,0,0
Ole Hardwood,"Ole Hardwood - CLOSED - Near Southside - Chicago, IL",3,0,0,0
Opera,"Opera - CLOSED - Near Southside - Chicago, IL",4,1,1,0
Flat Top Stir-Fry Grill,"Flat Top Stir-Fry Grill - The Loop - Chicago, IL",4,0,0,0
Kaiyo Sushi,"Kaiyo Sushi - CLOSED - The Loop - Chicago, IL",3,1,0,1
Subway,"Subway - The Loop - Chicago, IL",1,187,21,29
Grace O'Malley's,"Grace O'Malley's - CLOSED - Near Southside - Chicago, IL",3,1,0,0
The BISTRO At 151,"The BISTRO At 151 - The Loop - Chicago, IL",3,0,0,0
La Cantina,"La Cantina - The Loop - Chicago, IL",3,0,0,0
Frietkoten Belgian Fries & Beer,"Frietkoten Belgian Fries & Beer - Near West Side - Chicago, IL",4,0,0,0
State and Lake Chicago Tavern,"State and Lake Chicago Tavern - The Loop - Chicago, IL",3,0,0,0
Great Steak & Potato Co.,"Great Steak & Potato Co. - The Loop - Chicago, IL",3,0,0,0
Roma Pizza,"Roma Pizza - The Loop - Chicago, IL",3,0,0,0
Pat's Pizzeria,"Pat's Pizzeria - Printer's Row - Chicago, IL",4,0,0,0
Gina's Cuisine,"Gina's Cuisine - CLOSED - The Loop - Chicago, IL",4,0,0,0
Gold Coast Dogs,"Gold Coast Dogs - The Loop - Chicago, IL",3,9,5,0
Silk Road,"Silk Road - The Loop - Chicago, IL",4,0,0,0
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",4,118,23,19
Luke's Italian Beef,"Luke's Italian Beef - The Loop - Chicago, IL",4,10,2,3
Marquette Inn Restaurant,"Marquette Inn Restaurant - CLOSED - The Loop - Chicago, IL",3,1,0,0
Pret A Manger,"Pret A Manger - The Loop - Chicago, IL",4,68,5,9
Billy Goat Tavern & Grill,"Billy Goat Tavern & Grill - The Loop - Chicago, IL",3,18,1,1
Caffe Baci,"Caffe Baci - Near West Side - Chicago, IL",4,33,5,5
The Gage,"The Gage - The Loop - Chicago, IL",4,8,3,2
65 Asian Kitchen,"65 Asian Kitchen - The Loop - Chicago, IL",3,0,0,0
Bonjour Cafe,"Bonjour Cafe - The Loop - Chicago, IL",4,2,1,0
Toni Patisserie & Cafe,"Toni Patisserie & Cafe - The Loop - Chicago, IL",4,0,0,0
Sixty Five Chinese Restaurant,"Sixty Five Chinese Restaurant - CLOSED - The Loop - Chicago, IL",3,11,1,0
Chickadilly's Charhouse,"Chickadilly's Charhouse - The Loop - Chicago, IL",4,0,0,0
Currents on the River,"Currents on the River - CLOSED - The Loop - Chicago, IL",4,3,0,2
Cafe 100,"Cafe 100 - The Loop - Chicago, IL",4,0,0,0
Buddy Guy's Legends,"Buddy Guy's Legends - South Loop - Chicago, IL",4,13,0,2
Sbarro,"Sbarro - CLOSED - The Loop - Chicago, IL",3,36,5,6
Oasis Cafe,"Oasis Cafe - The Loop - Chicago, IL",4,5,2,0
Seven Bar & Restaurant,"Seven Bar & Restaurant - The Loop - Chicago, IL",4,8,1,3
Pazzo's Cucina Italiana,"Pazzo's Cucina Italiana - The Loop - Chicago, IL",3,28,3,11
Rosebud Express,"Rosebud Express - The Loop - Chicago, IL",5,0,0,0
Urban Market,"Urban Market - The Loop - Chicago, IL",3,8,2,1
Pita Express,"Pita Express - The Loop - Chicago, IL",4,10,1,6
Subway,"Subway - The Loop - Chicago, IL",4,187,21,29
Dunkin' Donuts,"Dunkin' Donuts - The Loop - Chicago, IL",4,4,1,1
Solo 1530,"Solo 1530 - CLOSED - Near Southside - Chicago, IL",2,0,0,0
South Water Kitchen,"South Water Kitchen - The Loop - Chicago, IL",4,0,0,0
Cavanaugh's,"Cavanaugh's - The Loop - Chicago, IL",4,0,0,0
Burrito Beach,"Burrito Beach - The Loop - Chicago, IL",3,28,3,3
Dairy Queen Grill & Chill Restraunt,"Dairy Queen Grill & Chill Restraunt - The Loop - Chicago, IL",4,0,0,0
Jaffa Bakery,"Jaffa Bakery - The Loop - Chicago, IL",4,10,0,7
Salad Spinners,"Salad Spinners - CLOSED - The Loop - Chicago, IL",4,1,0,0
Blackie's,"Blackie's - Printer's Row - Chicago, IL",4,8,0,1
Freshii,"Freshii - The Loop - Chicago, IL",3,63,21,14
Eleventh St Diner,"Eleventh St Diner - South Loop - Chicago, IL",3,0,0,0
Ada's Famous Deli,"Ada's Famous Deli - The Loop - Chicago, IL",3,0,0,0
Abou Andre,"Abou Andre - The Loop - Chicago, IL",4,0,0,0
Harry's Sandwich Shop,"Harry's Sandwich Shop - The Loop - Chicago, IL",3,8,0,1
Poag Mahone's,"Poag Mahone's - The Loop - Chicago, IL",4,10,5,0
Qdoba Mexican Grill,"Qdoba Mexican Grill - The Loop - Chicago, IL",3,9,1,3
The Great Steak and Potato Company,"The Great Steak and Potato Company - The Loop - Chicago, IL",4,0,0,0
Marquette Inn No 4 Restaurant,"Marquette Inn No 4 Restaurant - The Loop - Chicago, IL",3,1,0,0
Frontera Fresco,"Frontera Fresco - The Loop - Chicago, IL",4,0,0,0
Elephant & Castle,"Elephant & Castle - The Loop - Chicago, IL",3,2,0,0
Villains Bar and Grill,"Villains Bar and Grill - Printer's Row - Chicago, IL",4,0,0,0
Mista,"Mista - The Loop - Chicago, IL",4,0,0,0
Nesh Mediterranean Grill,"Nesh Mediterranean Grill - The Loop - Chicago, IL",2,9,0,2
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",4,73,20,12
Hey Sushi,"Hey Sushi - CLOSED - The Loop - Chicago, IL",3,0,0,0
Henri,"Henri - The Loop - Chicago, IL",5,0,0,0
Everest,"Everest - The Loop - Chicago, IL",4,0,0,0
Cosi,"Cosi - The Loop - Chicago, IL",3,31,7,8
The Southern Mac & Cheese Store,"The Southern Mac & Cheese Store - CLOSED - The Loop - Chicago, IL",4,1,0,0
CaffÃ¨ RÅM,"CaffÃ¨ RÅM - The Loop - Chicago, IL",4,0,0,0
Wine Bar at the Walnut Room,"Wine Bar at the Walnut Room - The Loop - Chicago, IL",4,0,0,0
Panda Express,"Panda Express - The Loop - Chicago, IL",3,12,0,1
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",4,33,13,8
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",4,33,13,8
Florian Opera Bistro,"Florian Opera Bistro - The Loop - Chicago, IL",4,1,1,0
Petro's Restaurant & Bakery,"Petro's Restaurant & Bakery - The Loop - Chicago, IL",2,0,0,0
Networks,"Networks - The Loop - Chicago, IL",3,0,0,0
My Thai Restaurant,"My Thai Restaurant - The Loop - Chicago, IL",3,8,0,1
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",4,48,11,8
Max's Take Out,"Max's Take Out - The Loop - Chicago, IL",5,10,1,4
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",3,33,13,8
O'Briens Riverwalk Cafe,"O'Briens Riverwalk Cafe - The Loop - Chicago, IL",2,1,0,0
Potbelly's Sandwich Works,"Potbelly's Sandwich Works - Printer's Row - Chicago, IL",5,0,0,0
Garden Village Deli,"Garden Village Deli - CLOSED - The Loop - Chicago, IL",4,1,0,0
Lai Lai & Korean Express,"Lai Lai & Korean Express - The Loop - Chicago, IL",3,0,0,0
Haifa Cafe,"Haifa Cafe - The Loop - Chicago, IL",3,8,2,5
Snuggery Union Train Station,"Snuggery Union Train Station - Near West Side - Chicago, IL",4,0,0,0
Potbelly,"Potbelly - The Loop - Chicago, IL",4,0,0,0
312 Chicago,"312 Chicago - The Loop - Chicago, IL",3,9,0,2
Lai Lai Oriental Express,"Lai Lai Oriental Express - The Loop - Chicago, IL",3,4,0,0
Artist's Cafe,"Artist's Cafe - South Loop - Chicago, IL",3,2,0,2
Skrine Chops,"Skrine Chops - The Loop - Chicago, IL",4,5,1,1
Jimmy Green's,"Jimmy Green's - South Loop - Chicago, IL",4,13,0,2
Yelp! Office Hours @ Lunch Rolls,"Yelp! Office Hours @ Lunch Rolls - The Loop - Chicago, IL",5,0,0,0
Frietkoten Belgian Fries and Beer,"Frietkoten Belgian Fries and Beer - Near West Side - Chicago, IL",2,0,0,0
Lunch Rolls,"Lunch Rolls - CLOSED - The Loop - Chicago, IL",4,0,0,0
The Bongo Room,"The Bongo Room - South Loop - Chicago, IL",4,0,0,0
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",3,33,13,8
McDonald's,"McDonald's - Near West Side - Chicago, IL",2,42,1,13
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",4,73,20,12
Pazzo's Express,"Pazzo's Express - Chicago, IL",4,11,2,2
N9NE Steakhouse,"N9NE Steakhouse - Near West Side - Chicago, IL",4,0,0,0
Freshii,"Freshii - The Loop - Chicago, IL",3,63,21,14
Hannah's Bretzel,"Hannah's Bretzel - The Loop - Chicago, IL",4,10,2,0
Filini,"Filini - The Loop - Chicago, IL",4,0,0,0
Stetson's Chop House & Bar,"Stetson's Chop House & Bar - The Loop - Chicago, IL",4,16,1,3
The Park Shoppe,"The Park Shoppe - The Loop - Chicago, IL",3,0,0,0
Tortas Frontera by Rick Bayless,"Tortas Frontera by Rick Bayless - The Loop - Chicago, IL",3,0,0,0
Johnny Rockets,"Johnny Rockets - The Loop - Chicago, IL",2,9,0,4
Pazzo's Cucina Italiana,"Pazzo's Cucina Italiana - CLOSED - The Loop - Chicago, IL",4,28,3,11
Jimmy John's Gourmet Sandwiches,"Jimmy John's Gourmet Sandwiches - The Loop - Chicago, IL",4,34,13,8
Subway,"Subway - Near Southside - Chicago, IL",3,187,21,29
Pittsfield Cafe,"Pittsfield Cafe - The Loop - Chicago, IL",4,9,1,1
Banh Mi Express Sandwiches,"Banh Mi Express Sandwiches - The Loop - Chicago, IL",3,1,0,0
South Loop Club,"South Loop Club - South Loop - Chicago, IL",3,0,0,0
Baba's Village,"Baba's Village - Near West Side - Chicago, IL",3,8,1,1
Armand's Pizzeria,"Armand's Pizzeria - Chicago, IL",3,0,0,0
Pompei Dearborn,"Pompei Dearborn - CLOSED - The Loop - Chicago, IL",3,0,0,0
Hot Woks Cool Sushi,"Hot Woks Cool Sushi - The Loop - Chicago, IL",5,18,5,2
